file,guan_solution,guan_optimal,guan_time,guan_gap,guan_build_time,tbasedw_solution,tbasedw_optimal,tbasedw_time,tbased_wgap,tbasedw_build_time
m15j15d15p05_0.csv.out,4,1,2.687999964,0,0.072000027,4,1,1.427999973,0,0.695000172
m15j15d15p05_1.csv.out,4,1,2.071000099,0,0.05099988,4,1,1.607999802,0,0.814999819
m15j15d15p05_2.csv.out,1,1,2.28399992,0,0.045000076,1,1,4.963999987,0,0.629999876
m15j15d15p05_3.csv.out,0,1,0.078999996,0,0.051000118,0,1,1.106999874,0,0.5
m15j15d15p05_4.csv.out,5,1,1.903999805,0,0.040999889,5,1,1.89199996,0,0.842999935
m15j15d15p10_0.csv.out,5,1,0.444000006,0,0.041000128,5,1,3.332999945,0,1.542000055
m15j15d15p10_1.csv.out,5,1,0.618999958,0,0.039000034,5,1,2.230000019,0,1.326000214
m15j15d15p10_2.csv.out,4,1,0.24000001,0,0.039999962,4,1,3.708999872,0,1.357999802
m15j15d15p10_3.csv.out,4,1,0.84800005,0,0.049999952,4,1,5.434999943,0,1.131999969
m15j15d15p10_4.csv.out,8,1,0.281000137,0,0.039000034,8,1,4.455000162,0,2.207000017
m15j15d15p20_0.csv.out,6,1,0.516000032,0,0.039999962,6,1,12.30200005,0,3.916000128
m15j15d15p20_1.csv.out,9,1,0.60800004,0,0.039999962,9,1,28.19800019,0,4.58100009
m15j15d15p20_2.csv.out,5,1,0.219000101,0,0.039999962,5,1,7.654000044,0,3.360000134
m15j15d15p20_3.csv.out,9,1,0.182999849,0,0.039999962,9,1,15.50600004,0,6.382999897
m15j15d15p20_4.csv.out,5,1,0.251000166,0,0.039999962,5,1,7.41899991,0,3.217999935
m15j15d25p05_0.csv.out,1,1,0.786999941,0,0.039999962,1,1,2.833999872,0,0.596999884
m15j15d25p05_1.csv.out,0,1,0.905999899,0,0.039999962,0,1,2.023999929,0,0.794000149
m15j15d25p05_2.csv.out,1,1,0.156000137,0,0.0400002,1,1,1.382000208,0,0.624000072
m15j15d25p05_3.csv.out,3,1,0.167999983,0,0.039999962,3,1,1.164000034,0,0.638000011
m15j15d25p05_4.csv.out,0,1,0.15199995,0,0.042000055,0,1,1.44900012,0,0.610000134
m15j15d25p10_0.csv.out,3,1,0.554999828,0,0.041999817,3,1,4.04399991,0,1.697999954
m15j15d25p10_1.csv.out,3,1,1.599999905,0,0.039999962,3,1,5.610999823,0,1.556999922
