file,rpfguan_penalty_solution,rpfguan_penalty_optimal,rpfguan_penalty_time,rpfguan_penaltygap,rpfguan_penaltybuild_time,tbasedw_penalty_solution,tbasedw_penalty_optimal,tbasedw_penalty_time,tbasedw_penaltygap,tbasedw_penaltybuild_time
m15j15d15p05_5.csv.out,2,1,1.4850001335144043,0.0,0.06400012969970703,2,1,2.129000186920166,0.0,0.628000020980835
m15j15d15p05_6.csv.out,1,1,0.37800002098083496,0.0,0.04400014877319336,1,1,1.4600000381469727,0.0,0.8070001602172852
m15j15d15p05_7.csv.out,2,1,0.23399996757507324,0.0,0.0409998893737793,2,1,0.9230000972747803,0.0,0.3960001468658447
m15j15d15p05_8.csv.out,2,1,0.17399978637695312,0.0,0.042999982833862305,2,1,1.1730000972747803,0.0,0.5669999122619629
m15j15d15p05_9.csv.out,1,1,11.644000053405762,0.0,0.04200005531311035,1,1,1.0799999237060547,0.0,0.5160000324249268
m15j15d15p10_5.csv.out,5,1,1.2579998970031738,0.0,0.04499983787536621,5,1,5.0269999504089355,0.0,2.308000087738037
m15j15d15p10_6.csv.out,5,1,26.96399998664856,0.0,0.04699993133544922,5,1,5.7190001010894775,0.0,2.2260000705718994
m15j15d15p10_7.csv.out,6,1,1.0329999923706055,0.0,0.04499983787536621,6,1,3.806999921798706,0.0,1.690000057220459
m15j15d15p10_8.csv.out,6,1,4.669999837875366,0.0,0.039999961853027344,6,1,5.011999845504761,0.0,1.9900000095367432
m15j15d15p10_9.csv.out,6,1,2.0920000076293945,0.0,0.06299996376037598,6,1,6.330000162124634,0.0,1.9670000076293945
m15j15d15p20_5.csv.out,8,1,0.7160000801086426,0.0,0.039999961853027344,8,1,15.416000127792358,0.0,4.871000051498413
m15j15d15p20_6.csv.out,8,1,1.5699999332427979,0.0,0.039999961853027344,8,1,33.355000019073486,0.0,5.891000032424927
m15j15d15p20_7.csv.out,10,1,0.9360001087188721,0.0,0.04700016975402832,10,1,13.885999917984009,0.0,5.934000015258789
m15j15d15p20_8.csv.out,9,1,0.17799997329711914,0.0,0.03900003433227539,9,1,19.58899998664856,0.0,9.062999963760376
m15j15d15p20_9.csv.out,9,1,0.17600011825561523,0.0,0.03900003433227539,9,1,10.365999937057495,0.0,5.0
m15j15d25p05_5.csv.out,1,1,0.20000004768371582,0.0,0.04200005531311035,1,1,1.2979998588562012,0.0,0.5880000591278076
m15j15d25p05_6.csv.out,2,1,1.2379999160766602,0.0,0.042999982833862305,2,1,1.2660000324249268,0.0,0.5339999198913574
m15j15d25p05_7.csv.out,2,1,0.1510000228881836,0.0,0.042999982833862305,2,1,1.6419999599456787,0.0,0.7929999828338623
m15j15d25p05_8.csv.out,3,1,1.5729999542236328,0.0,0.03900003433227539,3,1,1.2290000915527344,0.0,0.6790001392364502
m15j15d25p05_9.csv.out,2,1,0.6160001754760742,0.0,0.0410001277923584,2,1,1.440000057220459,0.0,0.687999963760376
m15j15d25p10_5.csv.out,4,1,1.125,0.0,0.04500007629394531,4,1,5.022000074386597,0.0,1.9660000801086426
m15j15d25p10_6.csv.out,3,1,0.6330001354217529,0.0,0.042999982833862305,3,1,4.036999940872192,0.0,1.7339999675750732
m15j15d25p10_7.csv.out,3,1,0.34800004959106445,0.0,0.039999961853027344,3,1,5.105000019073486,0.0,1.446000099182129
m15j15d25p10_8.csv.out,3,1,2.0939998626708984,0.0,0.03899979591369629,3,1,4.988000154495239,0.0,1.8289999961853027
m15j15d25p10_9.csv.out,6,1,0.755000114440918,0.0,0.0410001277923584,6,1,4.669000148773193,0.0,2.142000198364258
m15j15d25p20_5.csv.out,6,1,3.2730000019073486,0.0,0.040000200271606445,6,1,22.405999898910522,0.0,6.697000026702881
m15j15d25p20_6.csv.out,6,1,0.625999927520752,0.0,0.039999961853027344,6,1,15.289000034332275,0.0,5.194999933242798
m15j15d25p20_7.csv.out,8,1,59.015000104904175,0.0,0.04500007629394531,8,1,52.526999950408936,0.0,8.091000080108643
m15j15d25p20_8.csv.out,8,1,0.3559999465942383,0.0,0.0410001277923584,8,1,17.209999799728394,0.0,6.474999904632568
m15j15d25p20_9.csv.out,7,1,1.2809998989105225,0.0,0.0409998893737793,7,1,14.230000019073486,0.0,6.513000011444092
m15j25d15p05_5.csv.out,9,0,1800.3860001564026,0.2222222222197533,0.09200000762939453,9,1,3.876000165939331,0.0,1.7740001678466797
m15j25d15p05_6.csv.out,12,1,444.9079999923706,0.0,0.09100008010864258,12,1,6.047000169754028,0.0,2.9700000286102295
m15j25d15p05_7.csv.out,11,1,1395.3900001049042,0.0,0.09100008010864258,11,1,6.085999965667725,0.0,2.7130000591278076
m15j25d15p05_8.csv.out,11,0,1800.4830000400543,0.4533947065551433,0.09500002861022949,10,1,10.182000160217285,0.0,2.616000175476074
m15j25d15p05_9.csv.out,9,1,58.13100004196167,0.0,0.10500001907348633,9,1,4.799000024795532,0.0,2.8010001182556152
m15j25d15p10_5.csv.out,11,1,80.83299994468689,0.0,0.09599995613098145,11,1,20.812999963760376,0.0,9.803999900817871
m15j25d15p10_6.csv.out,15,1,402.26199984550476,0.0,0.12299990653991699,15,1,20.463000059127808,0.0,7.580999851226807
m15j25d15p10_7.csv.out,12,0,1800.2599999904633,0.16666666666527807,0.09200000762939453,12,1,28.597000122070312,0.0,7.611999988555908
m15j25d15p10_8.csv.out,15,1,5.91700005531311,0.0,0.09500002861022949,15,1,12.995000123977661,0.0,6.933000087738037
m15j25d15p10_9.csv.out,12,1,571.4730000495911,0.0,0.09400010108947754,12,1,16.18400001525879,0.0,7.546000003814697
m15j25d15p20_5.csv.out,16,1,132.18999981880188,0.0,0.09299993515014648,16,1,56.48799991607666,0.0,23.371999979019165
m15j25d15p20_6.csv.out,14,1,423.84999990463257,0.0,0.09299993515014648,14,1,114.22899985313416,0.0,26.09500002861023
m15j25d15p20_7.csv.out,18,0,1800.1779999732971,0.05555555555524692,0.09599995613098145,18,1,90.93099999427795,0.0,31.98799991607666
m15j25d15p20_8.csv.out,16,0,1800.8440001010895,0.1259306163821576,0.10000014305114746,16,1,120.9539999961853,0.0,20.002999782562256
m15j25d15p20_9.csv.out,16,1,36.15999984741211,0.0,0.10899996757507324,16,1,66.44999980926514,0.0,21.742999792099
m15j25d25p05_5.csv.out,1,1,1096.3940000534058,0.0,0.09200000762939453,1,1,10.390000104904175,0.0,1.8870000839233398
m15j25d25p05_6.csv.out,8,0,1800.3150000572205,0.24999999999687555,0.09300017356872559,8,1,5.440999984741211,0.0,2.634999990463257
m15j25d25p05_7.csv.out,5,1,35.07100009918213,0.0,0.09100008010864258,5,1,5.434000015258789,0.0,2.187000036239624
m15j25d25p05_8.csv.out,5,1,541.4340000152588,0.0,0.09100008010864258,5,1,6.8409998416900635,0.0,2.5429999828338623
m15j25d25p05_9.csv.out,4,1,51.24499988555908,0.0,0.08999991416931152,4,1,5.6600000858306885,0.0,2.1419999599456787
m15j25d25p10_5.csv.out,13,1,277.58700013160706,0.0,0.09300017356872559,13,1,85.0460000038147,0.0,7.617999792098999
m15j25d25p10_6.csv.out,10,1,670.7579998970032,0.0,0.11400008201599121,10,1,13.526999950408936,0.0,6.194000005722046
m15j25d25p10_7.csv.out,12,0,1800.4319999217987,0.6617850810395759,0.09200000762939453,11,1,30.23800015449524,0.0,8.240000009536743
m15j25d25p10_8.csv.out,9,1,341.20899987220764,0.0,0.09299993515014648,9,1,20.408999919891357,0.0,7.333999872207642
m15j25d25p10_9.csv.out,10,1,894.3039999008179,0.0,0.09100008010864258,10,1,17.299999952316284,0.0,6.871999979019165
m15j25d25p20_5.csv.out,13,1,450.7090001106262,0.0,0.10000014305114746,13,1,57.299999952316284,0.0,22.484999895095825
m15j25d25p20_6.csv.out,15,1,413.62199997901917,0.0,0.09200000762939453,15,1,105.25800013542175,0.0,24.888000011444092
m15j25d25p20_7.csv.out,12,1,1031.9950001239777,0.0,0.12600016593933105,12,1,225.4630000591278,0.0,26.380000114440918
m15j25d25p20_8.csv.out,12,0,1800.3970000743866,0.24960598896561317,0.11400008201599121,12,1,153.24499988555908,0.0,21.15999984741211
m15j25d25p20_9.csv.out,15,1,208.51900005340576,0.0,0.10599994659423828,15,1,215.25500011444092,0.0,34.03399991989136
m25j15d15p05_5.csv.out,1,1,0.2089998722076416,0.0,0.04499983787536621,1,1,3.0199999809265137,0.0,1.2769999504089355
m25j15d15p05_6.csv.out,1,1,0.1979999542236328,0.0,0.03900003433227539,1,1,2.815000057220459,0.0,1.0869998931884766
m25j15d15p05_7.csv.out,4,1,1.6100001335144043,0.0,0.040000200271606445,4,1,2.2780001163482666,0.0,1.2920000553131104
m25j15d15p05_8.csv.out,2,1,0.7709999084472656,0.0,0.039999961853027344,2,1,2.690000057220459,0.0,1.003999948501587
m25j15d15p05_9.csv.out,4,1,0.4459998607635498,0.0,0.03900003433227539,4,1,2.8310000896453857,0.0,1.3659999370574951
m25j15d15p10_5.csv.out,7,1,0.18499994277954102,0.0,0.037999868392944336,7,1,17.3030002117157,0.0,5.81000018119812
m25j15d15p10_6.csv.out,6,1,0.34399986267089844,0.0,0.039999961853027344,6,1,17.344000101089478,0.0,5.216000080108643
m25j15d15p10_7.csv.out,5,1,0.3710000514984131,0.0,0.04699993133544922,5,1,11.764999866485596,0.0,5.083999872207642
m25j15d15p10_8.csv.out,6,1,0.8829998970031738,0.0,0.03900003433227539,6,1,9.191999912261963,0.0,4.196000099182129
m25j15d15p10_9.csv.out,7,1,0.309999942779541,0.0,0.03899979591369629,7,1,10.193000078201294,0.0,4.516000032424927
m25j15d15p20_5.csv.out,8,1,0.6210000514984131,0.0,0.039999961853027344,8,1,50.92700004577637,0.0,12.859999895095825
m25j15d15p20_6.csv.out,8,1,1.694000005722046,0.0,0.0410001277923584,8,1,32.46300005912781,0.0,7.825999975204468
m25j15d15p20_7.csv.out,7,1,0.4399998188018799,0.0,0.037999868392944336,7,1,27.26099991798401,0.0,11.335000038146973
m25j15d15p20_8.csv.out,11,1,0.5789999961853027,0.0,0.03900003433227539,11,1,33.98399996757507,0.0,15.398000001907349
m25j15d15p20_9.csv.out,9,1,0.14099979400634766,0.0,0.042999982833862305,9,1,75.51099991798401,0.0,14.111000061035156
m25j15d25p05_5.csv.out,1,1,0.34200000762939453,0.0,0.0409998893737793,1,1,4.312000036239624,0.0,1.807999849319458
m25j15d25p05_6.csv.out,2,1,1.3439998626708984,0.0,0.03900003433227539,2,1,3.4700000286102295,0.0,1.6299998760223389
m25j15d25p05_7.csv.out,2,1,0.939000129699707,0.0,0.037999868392944336,2,1,3.7920000553131104,0.0,1.6480000019073486
m25j15d25p05_8.csv.out,1,1,0.49500012397766113,0.0,0.039999961853027344,1,1,3.4019999504089355,0.0,1.502000093460083
m25j15d25p05_9.csv.out,1,1,0.20600008964538574,0.0,0.03900003433227539,1,1,3.506999969482422,0.0,1.5199999809265137
m25j15d25p10_5.csv.out,2,1,1.3609998226165771,0.0,0.03899979591369629,2,1,18.19600009918213,0.0,5.338000059127808
m25j15d25p10_6.csv.out,5,1,0.5820000171661377,0.0,0.0409998893737793,5,1,10.945000171661377,0.0,4.71399998664856
m25j15d25p10_7.csv.out,3,1,0.6080000400543213,0.0,0.04200005531311035,3,1,13.26800012588501,0.0,3.7699999809265137
m25j15d25p10_8.csv.out,5,1,2.2679998874664307,0.0,0.03800010681152344,5,1,12.430000066757202,0.0,4.50600004196167
m25j15d25p10_9.csv.out,5,1,1.055999994277954,0.0,0.037999868392944336,5,1,12.975000143051147,0.0,6.070000171661377
m25j15d25p20_5.csv.out,7,1,3.121999979019165,0.0,0.03900003433227539,7,1,54.29200005531311,0.0,14.617000102996826
m25j15d25p20_6.csv.out,8,1,1.7010002136230469,0.0,0.040000200271606445,8,1,78.99799990653992,0.0,15.76799988746643
m25j15d25p20_7.csv.out,5,1,0.3689999580383301,0.0,0.03900003433227539,5,1,30.115000009536743,0.0,11.852999925613403
m25j15d25p20_8.csv.out,8,1,0.17799997329711914,0.0,0.039999961853027344,8,1,28.223999977111816,0.0,14.305999994277954
m25j15d25p20_9.csv.out,7,1,3.075000047683716,0.0,0.039999961853027344,7,1,61.240999937057495,0.0,14.434000015258789
m25j25d15p05_5.csv.out,8,1,118.76500010490417,0.0,0.09100008010864258,8,1,24.233999967575073,0.0,5.2850000858306885
m25j25d15p05_6.csv.out,10,1,214.02500009536743,0.0,0.08999991416931152,10,1,11.014999866485596,0.0,6.099999904632568
m25j25d15p05_7.csv.out,6,1,721.8199999332428,0.0,0.09200000762939453,6,1,10.974999904632568,0.0,4.003000020980835
m25j25d15p05_8.csv.out,6,1,35.390000104904175,0.0,0.09300017356872559,6,1,9.327000141143799,0.0,4.769999980926514
m25j25d15p05_9.csv.out,8,0,1800.4179999828339,0.2499999999968759,0.09500002861022949,8,1,10.787000179290771,0.0,4.238000154495239
