file,m,j,d,p,i,rpfguan_solution,rpfguan_optimal,rpfguan_time,rpfguangap,rpfguanbuild_time,rpfguan_solution_time,tbasedw_solution,tbasedw_optimal,tbasedw_time,tbasedwgap,tbasedwbuild_time,tbasedw_solution_time
m15j15d15p05_0.csv.out,15,15,15,05,0,3,1,1.6640000343322754,0.0,0.12999987602233887,1.53400015831,3,1,3.31499981880188,0.0,1.0069999694824219,2.30799984932
m15j15d15p05_1.csv.out,15,15,15,05,1,3,1,4.995000123977661,0.0,0.1490001678466797,4.84599995613,3,1,5.3420000076293945,0.0,2.375999927520752,2.96600008011
m15j15d15p05_2.csv.out,15,15,15,05,2,3,1,0.9170000553131104,0.0,0.08500003814697266,0.832000017166,3,1,3.128999948501587,0.0,0.9219999313354492,2.20700001717
m15j15d15p05_3.csv.out,15,15,15,05,3,3,1,6.121999979019165,0.0,0.08899998664855957,6.03299999237,3,1,2.7170000076293945,0.0,1.3350000381469727,1.38199996948
m15j15d15p05_4.csv.out,15,15,15,05,4,4,1,17.670000076293945,0.0,0.08299994468688965,17.5870001316,4,1,4.188999891281128,0.0,1.5239999294281006,2.66499996185
m15j15d15p05_5.csv.out,15,15,15,05,5,3,1,0.2349998950958252,0.0,0.04999995231628418,0.18499994278,3,1,2.361999988555908,0.0,1.0230000019073486,1.33899998665
m15j15d15p05_6.csv.out,15,15,15,05,6,3,1,2.6710000038146973,0.0,0.0839998722076416,2.58700013161,3,1,3.696000099182129,0.0,0.8900001049041748,2.80599999428
m15j15d15p05_7.csv.out,15,15,15,05,7,3,1,0.6660001277923584,0.0,0.04699993133544922,0.619000196457,3,1,1.877000093460083,0.0,0.9010000228881836,0.976000070572
m15j15d15p05_8.csv.out,15,15,15,05,8,4,1,2.3559999465942383,0.0,0.07300019264221191,2.28299975395,4,1,3.2819998264312744,0.0,1.2409999370574951,2.04099988937
m15j15d15p05_9.csv.out,15,15,15,05,9,3,1,0.7039999961853027,0.0,0.0559999942779541,0.648000001907,3,1,2.2760000228881836,0.0,0.9539999961853027,1.3220000267
m15j15d15p10_0.csv.out,15,15,15,10,0,6,1,9.585999965667725,0.0,0.04200005531311035,9.54399991035,6,1,7.516999959945679,0.0,2.8399999141693115,4.67700004578
m15j15d15p10_1.csv.out,15,15,15,10,1,5,1,1.1429998874664307,0.0,0.07399988174438477,1.06900000572,5,1,4.4709999561309814,0.0,1.625,2.84599995613
m15j15d15p10_2.csv.out,15,15,15,10,2,7,1,1.3429999351501465,0.0,0.039999961853027344,1.3029999733,7,1,4.041000127792358,0.0,2.0,2.04100012779
m15j15d15p10_3.csv.out,15,15,15,10,3,8,1,4.822999954223633,0.0,0.03899979591369629,4.78400015831,8,1,5.825000047683716,0.0,2.438999891281128,3.3860001564
m15j15d15p10_4.csv.out,15,15,15,10,4,3,1,0.4549999237060547,0.0,0.040000200271606445,0.414999723434,3,1,2.6050000190734863,0.0,1.2599999904632568,1.34500002861
m15j15d15p10_5.csv.out,15,15,15,10,5,5,1,1.2579998970031738,0.0,0.04499983787536621,1.21300005913,5,1,5.0269999504089355,0.0,2.308000087738037,2.71899986267
m15j15d15p10_6.csv.out,15,15,15,10,6,5,1,26.96399998664856,0.0,0.04699993133544922,26.9170000553,5,1,5.7190001010894775,0.0,2.2260000705718994,3.49300003052
m15j15d15p10_7.csv.out,15,15,15,10,7,6,1,1.0329999923706055,0.0,0.04499983787536621,0.988000154495,6,1,3.806999921798706,0.0,1.690000057220459,2.11699986458
m15j15d15p10_8.csv.out,15,15,15,10,8,6,1,4.669999837875366,0.0,0.039999961853027344,4.62999987602,6,1,5.011999845504761,0.0,1.9900000095367432,3.02199983597
m15j15d15p10_9.csv.out,15,15,15,10,9,6,1,2.0920000076293945,0.0,0.06299996376037598,2.02900004387,6,1,6.330000162124634,0.0,1.9670000076293945,4.3630001545
m15j15d15p20_0.csv.out,15,15,15,20,0,9,1,0.5639998912811279,0.0,0.03900003433227539,0.524999856949,9,1,20.562000036239624,0.0,6.55400013923645,14.007999897
m15j15d15p20_1.csv.out,15,15,15,20,1,10,1,0.16700005531311035,0.0,0.042999982833862305,0.124000072479,10,1,10.801000118255615,0.0,5.951000213623047,4.84999990463
m15j15d15p20_2.csv.out,15,15,15,20,2,7,1,0.8819999694824219,0.0,0.04399991035461426,0.838000059128,7,1,30.128000020980835,0.0,5.366000175476074,24.7619998455
m15j15d15p20_3.csv.out,15,15,15,20,3,7,1,0.8289999961853027,0.0,0.0409998893737793,0.788000106812,7,1,14.749000072479248,0.0,5.1600000858306885,9.58899998665
m15j15d15p20_4.csv.out,15,15,15,20,4,8,1,1.5890002250671387,0.0,0.039999961853027344,1.54900026321,8,1,10.94700002670288,0.0,4.854000091552734,6.09299993515
m15j15d15p20_5.csv.out,15,15,15,20,5,8,1,0.7160000801086426,0.0,0.039999961853027344,0.676000118256,8,1,15.416000127792358,0.0,4.871000051498413,10.5450000763
