file,m,j,d,p,i,guan_solution,guan_optimal,guan_time,guan_gap,guan_build_time,tbasedw_solution,tbasedw_optimal,tbasedw_time,tbasedw_gap,tbasedw_build_time
m15j15d15p05_0.csv.out,15,15,15,5,0,4,1,2.618999958,0,0.04700017,4,1,3.161000013,0,1.248999834
m15j15d15p05_1.csv.out,15,15,15,5,1,1,1,0.357999802,0,0.059999943,1,1,1.724999905,0,0.735999823
m15j15d15p05_2.csv.out,15,15,15,5,2,4,1,0.80099988,0,0.044999838,4,1,2.680999994,0,0.686000109
m15j15d15p05_3.csv.out,15,15,15,5,3,5,1,6.64199996,0,0.052000046,5,1,1.842999935,0,0.852999926
m15j15d15p05_4.csv.out,15,15,15,5,4,4,1,0.221999884,0,0.042999983,4,1,1.00999999,0,0.579999924
m15j15d15p05_5.csv.out,15,15,15,5,5,2,1,1.485000134,0,0.06400013,2,1,2.129000187,0,0.628000021
m15j15d15p05_6.csv.out,15,15,15,5,6,1,1,0.378000021,0,0.044000149,1,1,1.460000038,0,0.80700016
m15j15d15p05_7.csv.out,15,15,15,5,7,2,1,0.233999968,0,0.040999889,2,1,0.923000097,0,0.396000147
m15j15d15p05_8.csv.out,15,15,15,5,8,2,1,0.173999786,0,0.042999983,2,1,1.173000097,0,0.566999912
m15j15d15p05_9.csv.out,15,15,15,5,9,1,1,11.64400005,0,0.042000055,1,1,1.079999924,0,0.516000032
m15j15d15p10_0.csv.out,15,15,15,10,0,6,1,9.585999966,0,0.042000055,6,1,7.51699996,0,2.839999914
m15j15d15p10_1.csv.out,15,15,15,10,1,5,1,1.142999887,0,0.073999882,5,1,4.470999956,0,1.625
m15j15d15p10_2.csv.out,15,15,15,10,2,7,1,1.342999935,0,0.039999962,7,1,4.041000128,0,2
m15j15d15p10_3.csv.out,15,15,15,10,3,8,1,4.822999954,0,0.038999796,8,1,5.825000048,0,2.438999891
m15j15d15p10_4.csv.out,15,15,15,10,4,3,1,0.454999924,0,0.0400002,3,1,2.605000019,0,1.25999999
