file,m,j,d,p,i,guan_solution,guan_optimal,guan_time,guangap,guanbuild_time,guan_solution_time,tbased2_solution,tbased2_optimal,tbased2_time,tbased2gap,tbased2build_time,tbased2_solution_time,cp_limit1s_solution,cp_limit1s_optimal,cp_limit1s_time,cp_limit2s_solution,cp_limit2s_optimal,cp_limit2s_time,cp_limit5s_solution,cp_limit5s_optimal,cp_limit5s_time,cp_limit10s_solution,cp_limit10s_optimal,cp_limit10s_time,cp_limit20s_solution,cp_limit20s_optimal,cp_limit20s_time
m15j30d20p20_0.csv.out,15,30,20,20,0,23,0,10.256999969482422,0.30434782608561906,0.20399999618530273,10.0529999733,23,1,241.63900017738342,0.0,65.73000001907349,175.909000158,24,0,1.011,24,0,2.057,23,0,5.012,23,0,10.248,23,0,20.756
m15j30d20p20_1.csv.out,15,30,20,20,1,22,0,10.231000185012817,0.4090909090890485,0.19099998474121094,10.0400002003,20,1,119.59700012207031,0.0,38.157999992370605,81.4390001297,21,0,1.028,21,0,2.121,21,0,5.133,21,0,10.301,20,0,20.917
m15j30d20p20_2.csv.out,15,30,20,20,2,23,0,10.242000102996826,0.4347826086937504,0.19300007820129395,10.0490000248,21,1,104.3199999332428,0.0,44.5220000743866,59.7979998589,23,0,1.089,22,0,2.112,22,0,5.298,22,0,10.355,22,0,21.313
m15j30d20p20_3.csv.out,15,30,20,20,3,22,0,10.250999927520752,0.36363636363470675,0.20799994468688965,10.0429999828,21,1,402.77699995040894,0.0,55.69099998474121,347.085999966,22,0,1.092,22,0,2.144,21,0,5.303,21,0,11.254,21,0,21.977
m15j30d20p20_4.csv.out,15,30,20,20,4,21,0,10.253000020980835,0.4285714285693877,0.2049999237060547,10.0480000973,19,1,139.43300008773804,0.0,49.51300001144409,89.9200000763,22,0,1.125,21,0,2.192,20,0,5.726,20,0,11.084,20,0,23.269
m15j30d20p20_5.csv.out,15,30,20,20,5,22,0,10.240000009536743,0.45454545454338807,0.18899989128112793,10.0510001183,20,1,1794.6080000400543,0.0,57.401999950408936,1737.20600009,21,0,1.049,21,0,2.161,21,0,5.688,21,0,10.452,20,0,20.542
m15j30d20p20_6.csv.out,15,30,20,20,6,22,0,10.283999919891357,0.4363636363616521,0.23000001907348633,10.0539999008,21,1,1005.5299999713898,0.0,73.71299982070923,931.817000151,23,0,1.009,21,0,2.035,21,0,5.224,21,0,10.489,21,0,20.338
m15j30d20p20_7.csv.out,15,30,20,20,7,19,0,10.282000064849854,0.4210526315767291,0.2220001220703125,10.0599999428,18,1,208.77900004386902,0.0,75.46000003814697,133.319000006,21,0,0.999,20,0,2.074,20,0,5.498,19,0,10.53,19,0,20.361
m15j30d20p20_8.csv.out,15,30,20,20,8,23,0,10.297000169754028,0.565217391301889,0.23799991607666016,10.0590002537,20,1,136.9869999885559,0.0,50.47499990463257,86.5120000839,23,0,1.03,23,0,2.141,22,0,5.266,22,0,10.626,21,0,20.631
m15j30d20p20_9.csv.out,15,30,20,20,9,21,0,10.299999952316284,0.4761904761882105,0.23399996757507324,10.0659999847,18,1,955.6040000915527,0.0,70.60500001907349,884.999000072,20,0,1.033,20,0,2.009,19,0,5.005,19,0,10.222,19,0,20.409
m15j30d20p40_0.csv.out,15,30,20,40,0,21,0,10.223000049591064,0.38095238095056666,0.18499994277954102,10.0380001068,20,1,698.7919998168945,0.0,195.50300002098083,503.288999796,21,0,1.04,21,0,2.03,21,0,5.241,21,0,10.314,21,0,20.461
m15j30d20p40_1.csv.out,15,30,20,40,1,22,0,10.267000198364258,0.2727272727260331,0.21800017356872559,10.0490000248,22,1,842.7840001583099,0.0,178.5809998512268,664.203000307,24,0,1.032,23,0,2.069,23,0,5.222,23,0,10.152,22,0,20.47
m15j30d20p40_2.csv.out,15,30,20,40,2,24,0,10.239000082015991,0.33333333333194415,0.1979999542236328,10.0410001278,23,1,1016.452999830246,0.0,194.80400013923645,821.648999691,24,0,1.019,24,0,2.121,23,0,5.147,23,0,10.269,23,0,20.629
m15j30d20p40_3.csv.out,15,30,20,40,3,22,0,10.263999938964844,0.2727272727260287,0.20099997520446777,10.0629999638,22,0,2031.5769999027252,0.04675324675303424,217.0770001411438,1814.49999976,23,0,1.078,22,0,2.039,22,0,5.172,22,0,10.247,22,0,20.455
m15j30d20p40_4.csv.out,15,30,20,40,4,24,0,10.266000032424927,0.41666666666493024,0.22099995613098145,10.0450000763,23,1,1128.8430001735687,0.0,226.25100016593933,902.592000008,24,0,1.03,23,0,2.018,23,0,5.052,23,0,10.371,23,0,20.451
m15j30d20p40_5.csv.out,15,30,20,40,5,22,0,10.247999906539917,0.43181818181621784,0.18700003623962402,10.0609998703,21,1,933.3559999465942,0.0,183.87199997901917,749.483999968,21,0,1.009,21,0,1.994,21,0,5.237,21,0,10.279,21,0,20.579
m15j30d20p40_6.csv.out,15,30,20,40,6,23,0,10.276000022888184,0.2608695652162562,0.22500014305114746,10.0509998798,22,1,1504.9079999923706,0.0,198.52800011634827,1306.37999988,23,0,1.027,23,0,2.108,23,0,5.1,23,0,10.29,23,0,20.535
m15j30d20p40_7.csv.out,15,30,20,40,7,20,0,10.180999994277954,0.3999999999979958,0.13900017738342285,10.0419998169,20,0,1998.704999923706,0.06666666666633292,185.02800011634827,1813.67699981,21,0,1.08,20,0,2.09,20,0,5.247,20,0,10.237,20,0,20.959
m15j30d20p40_8.csv.out,15,30,20,40,8,23,0,10.337000131607056,0.39130434782438467,0.2990000247955322,10.0380001068,23,0,1971.0820000171661,0.07310263892922084,156.96599984169006,1814.11600018,23,0,1.056,23,0,2.042,23,0,5.168,22,0,10.156,22,0,20.544
m15j30d20p40_9.csv.out,15,30,20,40,9,24,0,10.590999841690063,0.3749999999984375,0.49199986457824707,10.0989999771,22,1,1220.5710000991821,0.0,220.85199999809265,999.719000101,23,0,1.027,23,0,2.034,23,0,5.154,23,0,10.319,22,0,20.857
m15j40d20p20_0.csv.out,15,40,20,20,0,33,0,10.316999912261963,0.575757575755831,0.2709999084472656,10.0460000038,27,0,1931.648999929428,0.061728395061499554,118.84999990463257,1812.79900002,29,0,1.004,28,0,2.026,28,0,5.095,28,0,10.302,27,0,20.352
m15j40d20p20_1.csv.out,15,40,20,20,1,31,0,10.418999910354614,0.4838709677403748,0.3680000305175781,10.0509998798,28,1,371.65199995040894,0.0,136.7960000038147,234.855999947,32,0,1.045,31,0,2.021,31,0,5.145,30,0,10.173,29,0,20.327
m15j40d20p20_2.csv.out,15,40,20,20,2,35,0,10.365000009536743,0.5849206349189636,0.27300000190734863,10.0920000076,28,0,1937.3180000782013,0.05337374588858697,125.52699995040894,1811.79100013,31,0,1.015,31,0,2.059,30,0,5.092,29,0,10.089,28,0,20.326
m15j40d20p20_3.csv.out,15,40,20,20,3,36,0,10.591000080108643,0.5694444444428626,0.49699997901916504,10.0940001011,29,1,1071.069000005722,0.0,119.45000004768372,951.618999958,32,0,1.003,32,0,2.023,30,0,5.101,30,0,10.092,30,0,20.429
m15j40d20p20_4.csv.out,15,40,20,20,4,32,0,10.55299997329712,0.40624999999873046,0.48000001907348633,10.0729999542,30,1,460.60400009155273,0.0,184.5329999923706,276.071000099,32,0,0.988,32,0,2.016,32,0,5.104,31,0,10.156,31,0,20.274
m15j40d20p20_5.csv.out,15,40,20,20,5,32,0,10.341000080108643,0.4374999999986329,0.27300000190734863,10.0680000782,25,1,309.728000164032,0.0,124.25300002098083,185.475000143,27,0,1.044,27,0,2.023,27,0,5.127,27,0,10.191,26,0,20.55
m15j40d20p20_6.csv.out,15,40,20,20,6,33,0,10.365000009536743,0.48484848484701537,0.31400012969970703,10.0509998798,27,0,1943.9289999008179,0.04585537918854253,136.29199981689453,1807.63700008,28,0,1.01,28,0,2.018,28,0,5.1,28,0,10.089,28,0,20.193
m15j40d20p20_7.csv.out,15,40,20,20,7,31,0,10.315999984741211,0.5161290322563966,0.26799988746643066,10.0480000973,27,1,563.8929998874664,0.0,102.3970000743866,461.495999813,30,0,1.062,30,0,2.006,29,0,5.337,29,0,10.232,28,0,20.271
m15j40d20p20_8.csv.out,15,40,20,20,8,34,0,10.398000001907349,0.5882352941159169,0.3399999141693115,10.0580000877,28,0,1929.143000125885,0.06727329571972446,119.8289999961853,1809.31400013,29,0,1.013,29,0,2.03,29,0,5.12,29,0,10.231,28,0,20.43
m15j40d20p20_9.csv.out,15,40,20,20,9,35,0,10.361999988555908,0.5711500085925739,0.3040001392364502,10.0579998493,27,0,1925.7389998435974,0.07930049023976785,118.41499996185303,1807.32399988,30,0,0.99,28,0,2.054,28,0,4.99,28,0,10.106,27,0,20.176
m15j40d20p40_0.csv.out,15,40,20,40,0,35,0,10.396999835968018,0.42857142857020325,0.3380000591278076,10.0589997768,39,0,2278.3180000782013,0.239316239315625,455.3140001296997,1823.00399995,33,0,1.042,31,0,2.039,31,0,5.163,31,0,10.272,31,0,20.551
m15j40d20p40_1.csv.out,15,40,20,40,1,35,0,10.359999895095825,0.3714285714275107,0.30299997329711914,10.0569999218,39,0,2302.914999961853,0.20886090310815456,467.91699981689453,1834.99800014,33,0,1.009,33,0,2.054,32,0,5.055,32,0,10.191,32,0,20.351
m15j40d20p40_2.csv.out,15,40,20,40,2,34,0,10.368000030517578,0.382352941175346,0.3229999542236328,10.0450000763,32,1,1795.983999967575,0.0,437.53799986839294,1358.4460001,33,0,1.016,33,0,2.07,33,0,5.337,33,0,10.208,32,0,20.301
m15j40d20p40_3.csv.out,15,40,20,40,3,33,0,10.361999988555908,0.4242424242411385,0.3059999942779541,10.0559999943,28,0,2304.2439999580383,0.04464285714269771,463.4210000038147,1840.82299995,29,0,0.994,28,0,2.023,28,0,5.101,28,0,10.288,28,0,20.631
m15j40d20p40_4.csv.out,15,40,20,40,4,38,0,10.36899995803833,0.6050541795649712,0.312000036239624,10.0569999218,29,0,2200.4359998703003,0.047126436781446464,380.3769998550415,1820.05900002,30,0,1.049,30,0,2.04,30,0,5.126,29,0,10.172,29,0,20.282
m15j40d20p40_5.csv.out,15,40,20,40,5,35,0,10.425999879837036,0.48571428571289693,0.36999988555908203,10.0559999943,30,0,2191.763000011444,0.04525641025625904,367.9319999217987,1823.83100009,30,0,1.01,30,0,2.017,30,0,5.05,30,0,10.164,30,0,20.362
m15j40d20p40_6.csv.out,15,40,20,40,6,34,0,10.33299994468689,0.5294117647043253,0.2780001163482666,10.0549998283,39,0,2420.37299990654,0.3066239316231454,493.7760000228882,1926.59699988,30,0,1.004,29,0,2.107,29,0,5.078,29,0,10.165,28,0,20.254
m15j40d20p40_7.csv.out,15,40,20,40,7,31,0,10.32099986076355,0.35253838653292646,0.27699995040893555,10.0439999104,NA,NA,1886.1570000648499,32,0,1.044,31,0,2.009,31,0,5.132,31,0,10.193,31,0,20.383
m15j40d20p40_8.csv.out,15,40,20,40,8,33,0,10.324000120162964,0.454545454544077,0.26600003242492676,10.0580000877,37,0,2394.6480000019073,0.9999999999972973,549.5050001144409,1845.14299989,30,0,1.013,30,0,2.028,30,0,5.156,30,0,10.504,30,0,21.064
m15j40d20p40_9.csv.out,15,40,20,40,9,33,0,10.389999866485596,0.4545454545440714,0.32899999618530273,10.0609998703,39,0,2442.0039999485016,0.9999999999974358,605.1559998989105,1836.84800005,32,0,0.995,32,0,2.011,30,0,5.112,30,0,10.11,30,0,20.74
