35,0,2510.2490000724792,0.1423987776924888,552.8120000362396
0,4,8,None
1,12,11,None
2,197,9,None
3,4,4,None
4,4,15,None
5,590,4,None
6,0,7,None
7,0,20,None
8,11,22,None
9,452,12,None
10,359,13,None
11,280,1,None
12,443,10,None
13,215,9,None
14,20,0,None
15,63,17,None
16,155,1,None
17,374,0,None
18,530,15,None
19,6,10,None
20,0,18,None
21,175,7,None
22,415,13,None
23,131,7,None
24,612,3,None
25,10,4,None
26,499,3,None
27,33,12,None
28,398,1,None
29,114,7,None
30,307,1,None
31,561,1,None
32,5,0,None
33,0,22,None
34,401,10,None
35,464,4,None
36,592,15,None
37,0,0,None
38,93,13,None
39,540,14,None
40,16,11,None
41,530,6,None
42,504,15,None
43,336,8,None
44,580,8,None
45,552,3,None
46,244,11,None
47,322,5,None
48,479,4,None
49,42,8,None
