file,m,j,d,p,i,tbased_1800s_solution,tbased_1800s_optimal,tbased_1800s_solution_time,guan_1800s_solution,guan_1800s_optimal,guan_1800s_solution_time,cp_1800s_solution,cp_1800s_optimal,
m15j10d100p20_0.csv.out,15,10,100,20,0,2000022,1,25.39899993,2000022,1,1.757999897,20022,1,0
m15j10d100p20_1.csv.out,15,10,100,20,1,2000020,1,64.91400003,2000020,1,5.176000118,20020,1,0
m15j10d100p20_2.csv.out,15,10,100,20,2,3000041,1,8.609999895,3000041,1,7.667000055,30041,1,
m15j10d100p20_3.csv.out,15,10,100,20,3,2000016,1,17.12100005,2000016,1,2.018000126,20016,1,
m15j10d100p20_4.csv.out,15,10,100,20,4,3000052,1,9.578999996,3000052,1,10.40100002,30052,0,
m15j10d100p40_0.csv.out,15,10,100,40,0,3000143,1,47.44499993,3000143,1,2.156000137,30143,1,
m15j10d100p40_1.csv.out,15,10,100,40,1,3000088,1,17.95599985,3000088,1,1.710999727,30088,0,
m15j10d100p40_2.csv.out,15,10,100,40,2,3000070,1,29.00699997,3000070,1,28.72200012,30070,0,
m15j10d100p40_3.csv.out,15,10,100,40,3,3000124,0,1801.274,3000127,1,19.85600019,30124,0,
m15j10d100p40_4.csv.out,15,10,100,40,4,4000118,1,29.54699993,4000118,1,184.654,40118,0,
m15j20d100p20_0.csv.out,15,20,100,20,0,4000116,0,1802.307,4000119,0,1800.019,40116,0,
m15j20d100p20_1.csv.out,15,20,100,20,1,7000222,0,1802.499,8000192,0,1800.019,80184,0,
m15j20d100p20_2.csv.out,15,20,100,20,2,7000235,0,1802.468,7000246,0,1800.021,70246,0,
m15j20d100p20_3.csv.out,15,20,100,20,3,6000178,1,194.4420002,7000159,0,1800.023,60178,0,
m15j20d100p20_4.csv.out,15,20,100,20,4,5000144,0,1802.16,5000129,0,1800.023,50144,0,
m15j20d100p40_0.csv.out,15,20,100,40,0,7000633,0,1804.971,7000500,0,1800.02,70531,0,
m15j20d100p40_1.csv.out,15,20,100,40,1,3000181,0,1804.212,3000169,1,482.1459999,30185,0,
m15j20d100p40_2.csv.out,15,20,100,40,2,6000484,0,1805.338,6000451,0,1800.018,60414,0,
m15j20d100p40_3.csv.out,15,20,100,40,3,4000234,0,1805.407,4000232,0,1800.012,40209,0,
