file,m,j,d,p,i,guan_1s_solution,guan_1s_optimal,guan_1s_solution_time,guan_5s_solution,guan_5s_optimal,guan_5s_solution_time,guan_10s_solution,guan_10s_optimal,guan_10s_solution_time,guan_20s_solution,guan_20s_optimal,guan_20s_solution_time,guan_50s_solution,guan_50s_optimal,guan_50s_solution_time,guan_100s_solution,guan_100s_optimal,guan_100s_solution_time,guan_200s_solution,guan_200s_optimal,guan_200s_solution_time,guan_400s_solution,guan_400s_optimal,guan_400s_solution_time,guan_800s_solution,guan_800s_optimal,guan_800s_solution_time,guan_1800s_solution,guan_1800s_optimal,guan_1800s_solution_time
m15j40d100p40_0.csv.out,15,40,100,40,0,36,0,1.02600002289,25,0,5.02299976349,21,0,10.0329999924,21,0,20.0319998264,20,0,50.0310001373,18,0,100.019999981,19,0,200.015000105,18,0,400.019000053,17,0,800.022000074,16,0,1800.06900001
m15j40d100p40_1.csv.out,15,40,100,40,1,36,0,1.03200006485,25,0,5.01699995995,23,0,10.0260000229,17,0,20.0190000534,14,0,50.0220000744,13,0,100.020999908,13,0,200.026000023,13,0,400.016000032,13,0,800.031999826,13,0,1800.04900002
m15j40d100p40_2.csv.out,15,40,100,40,2,37,0,1.02900004387,29,0,5.02100014687,26,0,10.0280001163,22,0,20.0210001469,20,0,50.0319998264,20,0,100.037999868,19,0,200.032999992,19,0,400.042000055,18,0,800.03099966,15,0,1800.06899977
m15j40d100p40_3.csv.out,15,40,100,40,3,37,0,1.02500009537,26,0,5.02099990845,25,0,10.0230002403,19,0,20.0289998055,16,0,50.0339999199,15,0,100.049999952,15,0,200.019999981,15,0,400.02300024,13,0,800.034999847,13,0,1800.05400014
m15j40d100p40_4.csv.out,15,40,100,40,4,38,0,1.03300023079,29,0,5.01900005341,26,0,10.0249998569,27,0,20.0250000954,21,0,50.0260002613,19,0,100.019999981,19,0,200.039999962,18,0,400.01699996,18,0,800.024999857,18,0,1800.06100011
m15j40d100p80_0.csv.out,15,40,100,80,0,37,0,1.02499961853,23,0,5.0150001049,20,0,10.0270001888,18,0,20.0359997749,15,0,50.0349998474,16,0,100.022000074,16,0,200.034000158,16,0,400.013999939,16,0,800.029000044,16,0,1800.06700015
m15j40d100p80_1.csv.out,15,40,100,80,1,33,0,1.03399991989,20,0,5.01899981499,20,0,10.0230002403,19,0,20.0349998474,18,0,50.0329999924,17,0,100.048000097,17,0,200.025000095,17,0,400.029000044,16,0,800.03399992,17,0,1800.06900001
m15j40d100p80_2.csv.out,15,40,100,80,2,36,0,1.02399969101,29,0,5.02099990845,24,0,10.0239999294,24,0,20.0329999924,22,0,50.0329999924,21,0,100.034000158,22,0,200.04399991,21,0,400.021000147,20,0,800.034999847,18,0,1800.06299996
m15j40d100p80_3.csv.out,15,40,100,80,3,38,0,1.02800011635,32,0,5.01600003242,29,0,10.0280001163,26,0,20.0249998569,19,0,50.0239999294,18,0,100.029000044,16,0,200.027000189,17,0,400.045000315,16,0,800.019999743,16,0,1800.11199975
m15j40d100p80_4.csv.out,15,40,100,80,4,37,0,1.02499985695,28,0,5.02100014687,24,0,10.0260000229,22,0,20.0360000134,18,0,50.0370001793,16,0,100.032999992,17,0,200.042999983,15,0,400.019000053,15,0,800.020999908,16,0,1800.0999999
