file,m,j,d,p,i,tbased_1s_solution,tbased_5s_solution,tbased_10s_solution,tbased_20s_solution,tbased_50s_solution,tbased_100s_solution,tbased_1800s_solution,guan_1s_solution,guan_5s_solution,guan_10s_solution,guan_20s_solution,guan_50s_solution,guan_100s_solution,guan_1800s_solution,cp_1s_solution,cp_5s_solution,cp_10s_solution,cp_20s_solution,cp_50s_solution,cp_100s_solution,cp_1800s_solution
m15j40d100p40_0.csv.out,15,40,100,40,0,NA,NA,23,23,15,15,15,36,25,21,21,20,18,16,22,19,17,17,16,15,15
m15j40d100p40_1.csv.out,15,40,100,40,1,NA,40,21,21,12,12,11,36,25,23,17,14,13,13,15,13,13,13,13,12,12
m15j40d100p40_2.csv.out,15,40,100,40,2,22,22,22,16,15,15,14,37,29,26,22,20,20,15,18,17,16,16,15,15,14
m15j40d100p40_3.csv.out,15,40,100,40,3,NA,40,19,19,12,12,11,37,26,25,19,16,15,13,16,14,14,14,13,13,12
m15j40d100p40_4.csv.out,15,40,100,40,4,NA,40,28,18,15,15,14,38,29,26,27,21,19,18,24,18,18,18,16,16,16
m15j40d100p80_0.csv.out,15,40,100,80,0,NA,NA,NA,40,20,17,13,37,23,20,18,15,16,16,20,16,15,15,15,15,14
m15j40d100p80_1.csv.out,15,40,100,80,1,NA,NA,NA,40,22,17,13,33,20,20,19,18,17,17,20,17,17,17,16,16,15
m15j40d100p80_2.csv.out,15,40,100,80,2,25,25,25,25,25,19,16,36,29,24,24,22,21,18,22,19,18,18,17,17,17
m15j40d100p80_3.csv.out,15,40,100,80,3,23,23,23,23,23,23,13,38,32,29,26,19,18,16,20,17,16,16,15,14,13
m15j40d100p80_4.csv.out,15,40,100,80,4,21,21,21,21,21,16,13,37,28,24,22,18,16,16,20,16,15,15,14,14,13
m15j50d100p40_0.csv.out,15,50,100,40,0,NA,50,25,16,14,13,12,47,47,38,28,23,21,16,17,14,14,14,13,12,12
m15j50d100p40_1.csv.out,15,50,100,40,1,29,29,29,29,25,18,16,46,34,33,33,27,26,22,24,19,19,18,17,17,16
m15j50d100p40_2.csv.out,15,50,100,40,2,NA,50,28,28,17,17,15,47,41,39,37,27,24,21,26,18,17,17,17,17,16
m15j50d100p40_3.csv.out,15,50,100,40,3,NA,50,23,23,15,15,14,45,45,36,32,31,25,21,20,16,16,16,16,15,14
m15j50d100p40_4.csv.out,15,50,100,40,4,NA,50,22,17,16,16,14,46,39,34,34,29,25,19,26,19,18,17,17,17,16
m15j50d100p80_0.csv.out,15,50,100,80,0,25,25,25,25,25,17,12,48,47,46,37,23,21,18,20,16,16,15,15,15,13
m15j50d100p80_1.csv.out,15,50,100,80,1,NA,NA,NA,50,23,23,13,47,43,34,27,21,20,17,16,13,13,13,13,13,12
m15j50d100p80_2.csv.out,15,50,100,80,2,31,31,31,31,31,31,19,47,45,37,36,31,30,24,28,25,24,23,22,22,21
m15j50d100p80_3.csv.out,15,50,100,80,3,NA,NA,NA,50,20,20,15,47,46,35,30,22,21,16,19,15,15,15,14,14,13
m15j50d100p80_4.csv.out,15,50,100,80,4,NA,NA,NA,50,29,20,18,46,46,37,36,29,27,23,28,22,20,20,20,19,18
m25j40d100p40_0.csv.out,25,40,100,40,0,24,24,24,24,24,20,17,37,30,25,25,22,21,20,24,20,19,18,18,18,17
m25j50d100p40_0.csv.out,25,50,100,40,0,NA,NA,50,23,23,17,13,48,38,37,34,28,25,20,26,19,17,17,16,15,14
m25j50d100p40_1.csv.out,25,50,100,40,1,NA,NA,NA,24,24,22,15,47,46,29,28,26,25,18,27,21,18,18,16,16,16
