file,m,j,d,p,i,rpfguan_solution,rpfguan_optimal,rpfguan_time,rpfguangap,rpfguanbuild_time,rpfguan_solution_time,tbased2_solution,tbased2_optimal,tbased2_time,tbased2gap,tbased2build_time,tbased2_solution_time
m15j15d15p60_0.csv.out,15,15,15,60,0,9,1,7.068999767303467,0.0,0.0969998836517334,6.97199988365,9,1,212.72299981117249,0.0,40.40499997138977,168.94299983978271,172.31799984
m15j15d15p60_1.csv.out,15,15,15,60,1,9,1,0.7890000343322754,0.0,0.051000118255615234,0.737999916077,9,1,108.32500004768372,0.0,40.66199994087219,67.6630001068
m15j15d15p60_2.csv.out,15,15,15,60,2,10,1,0.2849998474121094,0.0,0.037999868392944336,0.246999979019,10,1,177.30799984931946,0.0,67.11699986457825,110.190999985
m15j15d15p60_3.csv.out,15,15,15,60,3,11,1,0.2049999237060547,0.0,0.04999995231628418,0.15499997139,11,1,147.32399988174438,0.0,57.02199983596802,90.3020000458
m15j15d15p60_4.csv.out,15,15,15,60,4,8,1,4.141000032424927,0.0,0.05000019073486328,4.09099984169,8,1,224.08500003814697,0.0,64.02799987792969,160.05700016
m15j15d15p60_5.csv.out,15,15,15,60,5,11,1,0.8459999561309814,0.0,0.04200005531311035,0.803999900818,11,1,209.14599990844727,0.0,60.41199994087219,148.733999968
m15j15d15p60_6.csv.out,15,15,15,60,6,11,1,0.14399981498718262,0.0,0.04199981689453125,0.101999998093,11,1,166.84800004959106,0.0,55.437000036239624,111.411000013
m15j15d15p60_7.csv.out,15,15,15,60,7,9,1,0.5789999961853027,0.0,0.051000118255615234,0.52799987793,9,1,164.5920000076294,0.0,51.06000018119812,113.531999826
m15j15d15p60_8.csv.out,15,15,15,60,8,9,1,0.17399978637695312,0.0,0.04999995231628418,0.123999834061,9,1,140.88899993896484,0.0,51.04900002479553,89.8399999142
m15j15d15p60_9.csv.out,15,15,15,60,9,11,1,0.2609999179840088,0.0,0.034999847412109375,0.226000070572,11,1,167.50200009346008,0.0,61.49900007247925,106.003000021
m15j15d15p80_0.csv.out,15,15,15,80,0,12,1,0.19099998474121094,0.0,0.04800009727478027,0.142999887466,12,1,301.5609998703003,0.0,101.30800008773804,200.252999783
m15j15d15p80_1.csv.out,15,15,15,80,1,11,1,14.613999843597412,0.0,0.04999995231628418,14.5639998913,11,1,375.02100014686584,0.0,133.7220001220703,241.299000025
m15j15d15p80_2.csv.out,15,15,15,80,2,12,1,0.17199993133544922,0.0,0.05099987983703613,0.121000051498,12,1,346.5309998989105,0.0,113.87100005149841,232.659999847
m15j15d15p80_3.csv.out,15,15,15,80,3,9,1,254.7720000743866,0.0,0.05000019073486328,254.721999884,9,1,171.93300008773804,0.0,57.80999994277954,114.123000145
m15j15d15p80_4.csv.out,15,15,15,80,4,10,1,17.57799983024597,0.0,0.04999995231628418,17.5279998779,10,1,309.53399991989136,0.0,109.94600009918213,199.587999821
m15j15d15p80_5.csv.out,15,15,15,80,5,11,1,1.0269999504089355,0.0,0.05099987983703613,0.976000070572,11,1,321.76200008392334,0.0,113.57200002670288,208.190000057
m15j15d15p80_6.csv.out,15,15,15,80,6,11,1,0.28299999237060547,0.0,0.04900002479553223,0.233999967575,11,1,396.6989998817444,0.0,137.35899996757507,259.339999914
m15j15d15p80_7.csv.out,15,15,15,80,7,11,1,1.0880000591278076,0.0,0.04900002479553223,1.03900003433,11,1,272.54500007629395,0.0,88.8050000667572,183.74000001
m15j15d15p80_8.csv.out,15,15,15,80,8,11,1,0.9869999885559082,0.0,0.04900002479553223,0.93799996376,11,1,228.8399999141693,0.0,62.138999938964844,166.700999975
m15j15d15p80_9.csv.out,15,15,15,80,9,11,1,12.220999956130981,0.0,0.04700016975402832,12.1739997864,11,1,336.11500000953674,0.0,107.81399989128113,228.301000118
m15j15d25p60_0.csv.out,15,15,25,60,0,11,1,0.0970001220703125,0.0,0.04900002479553223,0.0480000972748,11,1,253.7869999408722,0.0,84.88600015640259,168.900999784
m15j15d25p60_1.csv.out,15,15,25,60,1,9,1,0.4179999828338623,0.0,0.037999868392944336,0.380000114441,9,1,161.8380000591278,0.0,59.318000078201294,102.519999981
m15j15d25p60_2.csv.out,15,15,25,60,2,8,1,0.20600008964538574,0.0,0.05000019073486328,0.155999898911,8,1,161.09899997711182,0.0,66.03599977493286,95.0630002022
m15j15d25p60_3.csv.out,15,15,25,60,3,9,1,1.250999927520752,0.0,0.04900002479553223,1.20199990273,9,1,194.1729998588562,0.0,53.37999987602234,140.792999983
m15j15d25p60_4.csv.out,15,15,25,60,4,10,1,0.35199999809265137,0.0,0.04999995231628418,0.302000045776,10,1,152.00499987602234,0.0,60.003000020980835,92.001999855
m15j15d25p60_5.csv.out,15,15,25,60,5,10,1,12.86899995803833,0.0,0.051000118255615234,12.8179998398,10,1,91.13000011444092,0.0,36.04200005531311,55.0880000591
m15j15d25p60_6.csv.out,15,15,25,60,6,11,1,0.11699986457824707,0.0,0.05099987983703613,0.0659999847412,11,1,194.28999996185303,0.0,74.40100002288818,119.888999939
m15j15d25p60_7.csv.out,15,15,25,60,7,11,1,0.127000093460083,0.0,0.051000118255615234,0.0759999752045,11,1,157.8510000705719,0.0,73.53600001335144,84.3150000572
m15j15d25p60_8.csv.out,15,15,25,60,8,9,1,0.2929999828338623,0.0,0.04900002479553223,0.243999958038,9,1,173.99699997901917,0.0,61.82699990272522,112.170000076
m15j15d25p60_9.csv.out,15,15,25,60,9,8,1,0.21200013160705566,0.0,0.04999995231628418,0.162000179291,8,1,354.3550000190735,0.0,46.57599997520447,307.779000044
m15j15d25p80_0.csv.out,15,15,25,80,0,9,1,0.33500003814697266,0.0,0.051000118255615234,0.283999919891,9,1,363.0460000038147,0.0,103.82699990272522,259.219000101
m15j15d25p80_1.csv.out,15,15,25,80,1,9,1,0.6540000438690186,0.0,0.05099987983703613,0.603000164032,9,1,435.2890000343323,0.0,84.24000000953674,351.049000025
m15j15d25p80_2.csv.out,15,15,25,80,2,10,1,27.353000164031982,0.0,0.04200005531311035,27.3110001087,10,1,758.6790001392365,0.0,103.75399994850159,654.925000191
m15j15d25p80_3.csv.out,15,15,25,80,3,9,1,0.2349998950958252,0.0,0.04999995231628418,0.18499994278,9,1,198.58200001716614,0.0,70.98199987411499,127.600000143
m15j15d25p80_4.csv.out,15,15,25,80,4,11,1,9.621999979019165,0.0,0.034999847412109375,9.58700013161,11,1,378.67899990081787,0.0,130.32200002670288,248.356999874
m15j15d25p80_5.csv.out,15,15,25,80,5,10,1,0.32400012016296387,0.0,0.03500008583068848,0.289000034332,10,1,962.1010000705719,0.0,94.1690001487732,867.931999922
m15j15d25p80_6.csv.out,15,15,25,80,6,8,1,0.6370000839233398,0.0,0.05000019073486328,0.586999893188,8,1,257.1769998073578,0.0,87.44299983978271,169.733999968
m15j15d25p80_7.csv.out,15,15,25,80,7,11,1,0.13699984550476074,0.0,0.05099987983703613,0.0859999656677,11,1,344.9370000362396,0.0,101.88199996948242,243.055000067
m15j15d25p80_8.csv.out,15,15,25,80,8,11,1,0.19300007820129395,0.0,0.04500007629394531,0.148000001907,11,1,290.50100016593933,0.0,93.17499995231628,197.326000214
m15j15d25p80_9.csv.out,15,15,25,80,9,12,1,0.17799997329711914,0.0,0.05099987983703613,0.12700009346,12,1,302.5970001220703,0.0,139.02100014686584,163.575999975
m15j25d15p60_0.csv.out,15,25,15,60,0,17,1,154.22699999809265,0.0,0.12199997901916504,154.105000019,17,1,1416.316999912262,0.0,252.4269998073578,1163.8900001
m15j25d15p60_1.csv.out,15,25,15,60,1,19,1,2.8910000324249268,0.0,0.11700010299682617,2.77399992943,19,1,1485.9460000991821,0.0,285.1289999485016,1200.81700015
m15j25d15p60_2.csv.out,15,25,15,60,2,18,1,303.0409998893738,0.0,0.11999988555908203,302.921000004,18,1,1477.2309999465942,0.0,286.8770000934601,1190.35399985
m15j25d15p60_3.csv.out,15,25,15,60,3,19,0,1802.0009999275208,0.05263157894709142,0.11999988555908203,1801.88100004,19,1,1852.9270000457764,0.0,293.15199995040894,1559.7750001
m15j25d15p60_4.csv.out,15,25,15,60,4,21,1,4.852999925613403,0.0,0.1119999885559082,4.74099993706,21,1,623.0729999542236,0.0,251.58500003814697,371.487999916
m15j25d15p60_5.csv.out,15,25,15,60,5,19,0,1803.1420001983643,0.15789473684127536,0.10900020599365234,1803.03299999,19,1,597.537999868393,0.0,279.2079999446869,318.329999924
m15j25d15p60_6.csv.out,15,25,15,60,6,19,1,16.30399990081787,0.0,0.10500001907348633,16.1989998817,19,1,567.2929999828339,0.0,291.7720000743866,275.520999908
m15j25d15p60_7.csv.out,15,25,15,60,7,20,1,69.96600008010864,0.0,0.12100005149841309,69.8450000286,20,1,651.1500000953674,0.0,277.05099987983704,374.099000216
m15j25d15p60_8.csv.out,15,25,15,60,8,17,1,22.61299991607666,0.0,0.10399985313415527,22.5090000629,17,1,1067.3399999141693,0.0,232.57599997520447,834.763999939
m15j25d15p60_9.csv.out,15,25,15,60,9,19,1,112.95600008964539,0.0,0.12000012397766113,112.835999966,19,1,669.9909999370575,0.0,286.0420000553131,383.948999882
m15j25d15p80_0.csv.out,15,25,15,80,0,19,0,1802.4670000076294,0.15789473684127958,0.12100005149841309,1802.34599996,19,1,981.3160002231598,0.0,430.9450001716614,550.371000051
m15j25d15p80_1.csv.out,15,25,15,80,1,20,0,1800.736999988556,0.09999999999950018,0.10700011253356934,1800.62999988,20,1,1095.5169999599457,0.0,453.952999830246,641.56400013
m15j25d15p80_2.csv.out,15,25,15,80,2,20,1,2.8540000915527344,0.0,0.10599994659423828,2.74800014496,24,0,2436.2709999084473,0.9999999999958334,606.7479999065399,1829.523
m15j25d15p80_3.csv.out,15,25,15,80,3,19,1,305.36500000953674,0.0,0.13300013542175293,305.231999874,19,1,2119.6589999198914,0.0,361.49399995803833,1758.16499996
m15j25d15p80_4.csv.out,15,25,15,80,4,19,1,28.788999795913696,0.0,0.12099981307983398,28.6679999828,19,1,1090.0080001354218,0.0,470.8070001602173,619.200999975
m15j25d15p80_5.csv.out,15,25,15,80,5,17,1,1456.0759999752045,0.0,0.11599993705749512,1455.96000004,17,1,733.2750000953674,0.0,357.90899991989136,375.366000175
m15j25d15p80_6.csv.out,15,25,15,80,6,21,1,199.1909999847412,0.0,0.11400008201599121,199.076999903,21,1,1087.7020001411438,0.0,488.518000125885,599.184000015
m15j25d15p80_7.csv.out,15,25,15,80,7,19,0,1800.6440000534058,0.05263157894709217,0.11999988555908203,1800.52400017,19,1,1078.7460000514984,0.0,529.6470000743866,549.098999977
m15j25d15p80_8.csv.out,15,25,15,80,8,20,0,1801.457999944687,0.09999999999950232,0.11999988555908203,1801.33800006,20,1,915.0539999008179,0.0,406.9279999732971,508.125999928
m15j25d15p80_9.csv.out,15,25,15,80,9,20,0,1801.8860001564026,0.14999999999925,0.12000012397766113,1801.76600003,24,0,2391.426999807358,0.9999999999958334,561.1429998874664,1830.28399992
m15j25d25p60_0.csv.out,15,25,25,60,0,18,1,1320.9299998283386,0.0,0.12099981307983398,1320.80900002,18,1,1188.6459999084473,0.0,253.72099995613098,934.924999952
m15j25d25p60_1.csv.out,15,25,25,60,1,19,1,172.4060001373291,0.0,0.12200021743774414,172.28399992,19,0,2097.324999809265,0.057644110275385636,281.6619999408722,1815.66299987
m15j25d25p60_2.csv.out,15,25,25,60,2,20,1,62.9539999961853,0.0,0.12299990653991699,62.8310000896,20,1,1760.4130001068115,0.0,322.28700017929077,1438.12599993
m15j25d25p60_3.csv.out,15,25,25,60,3,17,1,281.0610001087189,0.0,0.11899995803833008,280.942000151,17,1,1766.5069999694824,0.0,305.12999987602234,1461.37700009
m15j25d25p60_4.csv.out,15,25,25,60,4,16,0,1801.3840000629425,0.18749999999882905,0.12000012397766113,1801.26399994,16,1,1734.4260001182556,0.0,201.83500003814697,1532.59100008
m15j25d25p60_5.csv.out,15,25,25,60,5,17,1,195.06900000572205,0.0,0.12100005149841309,194.947999954,17,1,764.066999912262,0.0,295.8659999370575,468.200999975
m15j25d25p60_6.csv.out,15,25,25,60,6,18,1,11.690999984741211,0.0,0.10399985313415527,11.5870001316,18,1,1936.505999803543,0.0,305.6909999847412,1630.81499982
m15j25d25p60_7.csv.out,15,25,25,60,7,17,0,1853.396999835968,0.2941176470570942,0.12199997901916504,1853.27499986,17,1,1238.5569999217987,0.0,253.09800004959106,985.458999872
m15j25d25p60_8.csv.out,15,25,25,60,8,16,1,75.71099996566772,0.0,0.12199997901916504,75.5889999866,16,1,1183.5729999542236,0.0,277.7569999694824,905.815999985
m15j25d25p60_9.csv.out,15,25,25,60,9,18,1,40.812999963760376,0.0,0.12100005149841309,40.6919999123,18,1,1221.4759998321533,0.0,230.37999987602234,991.095999956
m15j25d25p80_0.csv.out,15,25,25,80,0,19,1,833.4570000171661,0.0,0.11999988555908203,833.337000132,24,0,2391.62299990654,0.9999999999958334,559.7549998760223,1831.86800003
m15j25d25p80_1.csv.out,15,25,25,80,1,18,0,1866.1690001487732,0.22222222222098786,0.1230001449584961,1866.046,24,0,2302.2740001678467,0.9999999999958334,474.22300004959106,1828.05100012
m15j25d25p80_2.csv.out,15,25,25,80,2,18,1,73.63899993896484,0.0,0.12299990653991699,73.5160000324,19,0,2271.441999912262,0.06842105263121945,409.45899987220764,1848.4880001544952,1861.98300004
m15j25d25p80_3.csv.out,15,25,25,80,3,18,1,181.1910002231598,0.0,0.11800003051757812,181.05599999427795,181.073000193,18,1,2138.565999984741,0.0,374.32400012016296,1751.4800000190735,1764.24199986
m15j25d25p80_4.csv.out,15,25,25,80,4,18,1,4.753000020980835,0.0,0.11700010299682617,4.620000123977661,4.63599991798,24,0,2334.920000076294,0.9999999999958334,486.84500002861023,1833.4930000305176,1848.07500005
m15j25d25p80_5.csv.out,15,25,25,80,5,18,0,1800.566999912262,0.10916666666606019,0.11899995803833008,1800.0139999389648,1800.44799995,24,0,2354.065999984741,0.9999999999958334,523.5860002040863,1815.0460000038147,1830.47999978
m15j25d25p80_6.csv.out,15,25,25,80,6,18,0,1801.1840000152588,0.09999999999944766,0.11800003051757812,1800.0090000629425,1801.06599998,18,0,2274.7949998378754,0.08888888888839515,418.2909998893738,1842.6480000019073,1856.50399995
m15j25d25p80_7.csv.out,15,25,25,80,7,20,1,7.580000162124634,0.0,0.11700010299682617,7.447000026702881,7.46300005913,24,0,2432.133999824524,0.9999999999958334,598.6849999427795,1817.5030000209808,1833.44899988
m15j25d25p80_8.csv.out,15,25,25,80,8,19,1,101.47699999809265,0.0,0.12099981307983398,101.33899998664856,101.356000185,24,0,2291.986000061035,0.9999999999958334,463.0720000267029,1814.3789999485016,1828.91400003
m15j25d25p80_9.csv.out,15,25,25,80,9,19,0,1800.170000076294,0.05263157894709217,0.13199996948242188,1800.0120000839233,1800.03800011,24,0,2519.2490000724792,0.9999999999958334,519.0720000267029,1984.8280000686646,2000.17700005
m25j15d15p60_0.csv.out,25,15,15,60,0,10,1,7.0299999713897705,0.0,0.04999995231628418,6.959000110626221,6.98000001907,10,0,1955.5220000743866,0.099999999999,144.43200016021729,1804.5869998931885,1811.08999991
m25j15d15p60_1.csv.out,25,15,15,60,1,10,1,0.2690000534057617,0.0,0.04999995231628418,0.2090001106262207,0.219000101089,10,1,589.6670000553131,0.0,165.43600010871887,417.3639998435974,424.230999947
m25j15d15p60_2.csv.out,25,15,15,60,2,10,1,0.1979999542236328,0.0,0.04900002479553223,0.13899993896484375,0.148999929428,10,1,1188.3869998455048,0.0,143.86899995803833,1038.2820000648499,1044.51799989
m25j15d15p60_3.csv.out,25,15,15,60,3,11,1,0.27699995040893555,0.0,0.04900002479553223,0.21900010108947754,0.227999925613,11,1,690.5410001277924,0.0,190.3180000782013,493.11100006103516,500.22300005
m25j15d15p60_4.csv.out,25,15,15,60,4,12,1,1.1299998760223389,0.0,0.06200003623962402,1.057999849319458,1.06799983978,12,1,356.95099997520447,0.0,116.6340000629425,234.86999988555908,240.316999912
m25j15d15p60_5.csv.out,25,15,15,60,5,12,1,0.17400002479553223,0.0,0.05299997329711914,0.11100006103515625,0.121000051498,12,1,622.2789998054504,0.0,232.19999980926514,382.4350001811981,390.078999996
m25j15d15p60_6.csv.out,25,15,15,60,6,9,1,0.47299981117248535,0.0,0.04999995231628418,0.41300010681152344,0.422999858856,9,1,1126.6579999923706,0.0,130.69700002670288,989.9089999198914,995.960999966
m25j15d15p60_7.csv.out,25,15,15,60,7,10,1,0.42100000381469727,0.0,0.04900002479553223,0.3619999885559082,0.371999979019,10,1,375.9140000343323,0.0,131.22699999809265,238.64299988746643,244.687000036
m25j15d15p60_8.csv.out,25,15,15,60,8,11,1,0.7990000247955322,0.0,0.04900002479553223,0.7400000095367432,0.75,11,1,599.6900000572205,0.0,164.9940001964569,428.02300000190735,434.695999861
m25j15d15p60_9.csv.out,25,15,15,60,9,10,1,10.04800009727478,0.0,0.04900002479553223,9.98800015449524,9.99900007248,10,1,633.3900001049042,0.0,164.05599999427795,462.47500014305115,469.334000111
m25j15d15p80_0.csv.out,25,15,15,80,0,10,1,0.19700002670288086,0.0,0.04900002479553223,0.13700008392333984,0.148000001907,10,1,901.1549999713898,0.0,293.12800002098083,598.6949999332428,608.02699995
m25j15d15p80_1.csv.out,25,15,15,80,1,10,1,30.888999938964844,0.0,0.04900002479553223,30.82800006866455,30.8399999142,14,0,2127.856999874115,0.9999999999928572,290.50999999046326,1827.901999950409,1837.34699988
m25j15d15p80_2.csv.out,25,15,15,80,2,11,1,1.1349999904632568,0.0,0.04999995231628418,1.0749998092651367,1.08500003815,11,1,1449.845999956131,0.0,404.00499987602234,1035.223000049591,1045.84100008
m25j15d15p80_3.csv.out,25,15,15,80,3,10,1,12.555000066757202,0.0,0.04900002479553223,12.495000123977661,12.506000042,14,0,2051.7269999980927,0.9999999999928572,212.38199996948242,1831.2450001239777,1839.34500003
m25j15d15p80_4.csv.out,25,15,15,80,4,8,1,589.930999994278,0.0,0.04799985885620117,589.8710000514984,589.883000135,8,1,615.1089999675751,0.0,216.40100002288818,390.4249999523163,398.707999945
m25j15d15p80_5.csv.out,25,15,15,80,5,10,1,0.14599990844726562,0.0,0.04999995231628418,0.08500003814697266,0.095999956131,10,1,1121.4849998950958,0.0,302.66099977493286,809.545000076294,818.82400012
m25j15d15p80_6.csv.out,25,15,15,80,6,9,1,0.26999998092651367,0.0,0.04800009727478027,0.2109999656677246,0.221999883652,14,0,2094.204999923706,0.9999999999928572,270.05099987983704,1814.9430000782013,1824.15400004
m25j15d15p80_7.csv.out,25,15,15,80,7,12,1,0.25999999046325684,0.0,0.03500008583068848,0.20599985122680664,0.224999904633,12,1,1102.805999994278,0.0,289.89800000190735,804.2230000495911,812.907999992
m25j15d15p80_8.csv.out,25,15,15,80,8,11,1,0.20399999618530273,0.0,0.04999995231628418,0.14299988746643066,0.154000043869,11,1,980.6150000095367,0.0,287.31900000572205,684.5090000629425,693.296000004
m25j15d15p80_9.csv.out,25,15,15,80,9,9,1,17.64199995994568,0.0,0.04900002479553223,17.581000089645386,17.5929999352,9,1,672.5590000152588,0.0,176.39100003242493,488.8049998283386,496.167999983
m25j15d25p60_0.csv.out,25,15,25,60,0,9,1,0.5219998359680176,0.0,0.04900002479553223,0.4629998207092285,0.472999811172,9,1,1582.7699999809265,0.0,158.01500010490417,1417.8509998321533,1424.75499988
m25j15d25p60_1.csv.out,25,15,25,60,1,10,1,0.6289999485015869,0.0,0.04699993133544922,0.5789999961853027,0.582000017166,10,1,1879.5069999694824,0.0,162.80099987983704,1709.9630000591278,1716.70600009
m25j15d25p60_2.csv.out,25,15,25,60,2,9,1,3.562000036239624,0.0,0.04900002479553223,3.503000020980835,3.51300001144,9,1,1279.7139999866486,0.0,133.68999981880188,1139.9150002002716,1146.02400017
m25j15d25p60_3.csv.out,25,15,25,60,3,8,1,0.309999942779541,0.0,0.04800009727478027,0.25099992752075195,0.261999845505,8,1,1741.5339999198914,0.0,167.31900000572205,1567.2809998989105,1574.21499991
m25j15d25p60_4.csv.out,25,15,25,60,4,9,1,0.4030001163482666,0.0,0.04800009727478027,0.34399986267089844,0.355000019073,9,1,777.0770001411438,0.0,150.44799995422363,620.1280000209808,626.629000187
m25j15d25p60_5.csv.out,25,15,25,60,5,10,1,0.16499996185302734,0.0,0.04799985885620117,0.10699987411499023,0.117000102997,10,1,557.5419998168945,0.0,170.91599988937378,379.7980000972748,386.625999928
m25j15d25p60_6.csv.out,25,15,25,60,6,8,1,0.40599989891052246,0.0,0.03600001335144043,0.34999990463256836,0.369999885559,8,1,456.2460000514984,0.0,126.56900000572205,323.70899987220764,329.677000046
m25j15d25p60_7.csv.out,25,15,25,60,7,10,1,0.1789999008178711,0.0,0.048999786376953125,0.11899995803833008,0.130000114441,10,1,1759.2170000076294,0.0,180.51599979400635,1571.9920001029968,1578.70100021
m25j15d25p60_8.csv.out,25,15,25,60,8,11,1,0.21300005912780762,0.0,0.04900002479553223,0.15400004386901855,0.164000034332,11,1,616.7230000495911,0.0,169.0130000114441,441.15499997138977,447.710000038
m25j15d25p60_9.csv.out,25,15,25,60,9,10,1,0.20199990272521973,0.0,0.04999995231628418,0.1419999599456787,0.151999950409,10,1,835.8910000324249,0.0,121.14999985694885,709.1050000190735,714.741000175
m25j15d25p80_0.csv.out,25,15,25,80,0,9,1,0.8269999027252197,0.0,0.04900002479553223,0.7669999599456787,0.77799987793,13,0,2094.710000038147,0.9999999999923077,260.3199999332428,1825.255000114441,1834.3900001
m25j15d25p80_1.csv.out,25,15,25,80,1,10,1,0.3450000286102295,0.0,0.04800009727478027,0.2849998474121094,0.296999931335,14,0,2019.9370000362396,0.9999999999928572,192.1710000038147,1820.404000043869,1827.76600003
m25j15d25p80_2.csv.out,25,15,25,80,2,10,1,0.3259999752044678,0.0,0.04999995231628418,0.2669999599456787,0.276000022888,14,0,2071.9830000400543,0.9999999999928572,247.43700003623962,1816.12299990654,1824.546
m25j15d25p80_3.csv.out,25,15,25,80,3,11,1,0.4500000476837158,0.0,0.04900002479553223,0.3899998664855957,0.401000022888,11,1,1279.6819999217987,0.0,290.635999917984,980.0780000686646,989.046000004
m25j15d25p80_4.csv.out,25,15,25,80,4,9,1,8.078999996185303,0.0,0.051000118255615234,8.020999908447266,8.02799987793,9,0,1986.3940000534058,0.12094017093882684,177.99300003051758,1800.8079998493195,1808.40100002
m25j15d25p80_5.csv.out,25,15,25,80,5,9,1,0.1940000057220459,0.0,0.04900002479553223,0.13400006294250488,0.144999980927,9,1,1923.744999885559,0.0,191.2149999141693,1725.0929999351501,1732.52999997
m25j15d25p80_6.csv.out,25,15,25,80,6,9,1,0.3429999351501465,0.0,0.04800009727478027,0.2839999198913574,0.294999837875,14,0,2050.677999973297,0.9999999999928572,216.19299983978271,1826.4850001335144,1834.48500013
m25j15d25p80_7.csv.out,25,15,25,80,7,11,1,0.5520000457763672,0.0,0.04999995231628418,0.4909999370574951,0.50200009346,14,0,2154.651999950409,0.9999999999928572,326.9470000267029,1818.0599999427795,1827.70499992
m25j15d25p80_8.csv.out,25,15,25,80,8,7,1,1.3209998607635498,0.0,0.046000003814697266,1.2719998359680176,1.27499985695,13,0,2059.6859998703003,0.9999999999923077,243.53099989891052,1807.2910001277924,1816.15499997
m25j15d25p80_9.csv.out,25,15,25,80,9,11,1,2.1549999713897705,0.0,0.04799985885620117,2.0970001220703125,2.10700011253,14,0,2198.242000102997,0.9999999999928572,365.1950001716614,1822.704999923706,1833.04699993
m25j25d15p60_0.csv.out,25,25,15,60,0,20,1,519.9630000591278,0.0,0.11899995803833008,519.8270001411438,519.844000101,20,1,1439.6310000419617,0.0,679.4880001544952,743.1499998569489,760.142999887
m25j25d15p60_1.csv.out,25,25,15,60,1,17,0,1801.4420001506805,0.1764705882342591,0.11800003051757812,1800.0019998550415,1801.32400012,24,0,2451.00200009346,0.9999999999958334,615.5520000457764,1818.4660000801086,1835.45000005
m25j25d15p60_2.csv.out,25,25,15,60,2,18,1,890.0280001163483,0.0,0.11800003051757812,889.8899998664856,889.910000086,24,0,2513.848000049591,0.9999999999958334,672.9769999980927,1823.46599984169,1840.87100005
m25j25d15p60_3.csv.out,25,25,15,60,3,20,1,325.2019999027252,0.0,0.11800003051757812,325.0659999847412,325.083999872,23,0,2569.297999858856,0.9999999999956523,729.8599998950958,1821.6189999580383,1839.43799996
m25j25d15p60_4.csv.out,25,25,15,60,4,19,1,131.86699986457825,0.0,0.11699986457824707,131.731999874115,131.75,24,0,2461.5579998493195,0.9999999999958334,620.6789999008179,1824.4079999923706,1840.87899995
m25j25d15p60_5.csv.out,25,25,15,60,5,17,1,217.50699996948242,0.0,0.11899995803833008,217.3710000514984,217.388000011,24,0,2546.893999814987,0.9999999999958334,706.0999999046326,1822.808000087738,1840.79399991
m25j25d15p60_6.csv.out,25,25,15,60,6,20,1,346.0020000934601,0.0,0.12100005149841309,345.8619999885559,345.881000042,24,0,2618.7279999256134,0.9999999999958334,773.0549998283386,1827.2460000514984,1845.6730001
m25j25d15p60_7.csv.out,25,25,15,60,7,20,1,159.9170000553131,0.0,0.11800003051757812,159.7810001373291,159.799000025,24,0,2684.8929998874664,0.9999999999958334,836.3269999027252,1829.305999994278,1848.56599998
m25j25d15p60_8.csv.out,25,25,15,60,8,17,1,1560.0910000801086,0.0,0.12199997901916504,1559.9519999027252,1559.9690001,23,0,2621.2200000286102,0.9999999999956523,777.4809999465942,1824.8659999370575,1843.73900008
m25j25d15p60_9.csv.out,25,25,15,60,9,18,1,1049.026999950409,0.0,0.11699986457824707,1048.8789999485016,1048.91000009,23,0,2625.819000005722,0.9999999999956523,786.0320000648499,1821.0099999904633,1839.78699994
m25j25d15p80_0.csv.out,25,25,15,80,0,20,0,1853.465000152588,0.28812499999855945,0.11800003051757812,1802.2850000858307,1853.34700012,24,0,2757.3289999961853,0.9999999999958334,906.9019999504089,1830.2980000972748,1850.42700005
m25j25d15p80_1.csv.out,25,25,15,80,1,19,0,1801.9189999103546,0.10526315789419124,0.11699986457824707,1800.021999835968,1801.80200005,24,0,3937.697000026703,0.9999999999958334,1596.0230000019073,2287.6589999198914,2341.67400002
