file,m,j,d,p,i,cfp10_solution,cfp10_optimal,cfp10_time,cfp10_gap,cfp10_build_time,cfp10_model_time,cfp10_solution_time,cnfp10_solution,cnfp10_optimal,cnfp10_time,cnfp10_gap,cnfp10_build_time,cnfp10_model_time,cnfp10_solution_time
m15j15d15p80_0.csv.out,15,15,15,80,0,12,1,3.881999969482422,0.0,2.1480000019073486,,1.73399996758,13,1,3.123000144958496,0.0,1.4190001487731934,,1.70399999619
m15j15d15p80_1.csv.out,15,15,15,80,1,11,1,4.82699990272522,0.0,2.318000078201294,,2.50899982452,11,1,4.1540000438690186,0.0,1.758000135421753,,2.39599990845
m15j15d15p80_2.csv.out,15,15,15,80,2,12,1,4.276000022888184,0.0,2.001000165939331,,2.27499985695,14,1,3.705000162124634,0.0,1.4640002250671387,,2.24099993706
m15j15d15p80_3.csv.out,15,15,15,80,3,9,1,2.5950000286102295,0.0,1.2799999713897705,,1.31500005722,12,1,2.4639997482299805,0.0,0.8719997406005859,,1.59200000763
m15j15d15p80_4.csv.out,15,15,15,80,4,10,1,4.396000146865845,0.0,1.8399999141693115,,2.5560002327,11,1,3.0989999771118164,0.0,1.3880000114440918,,1.71099996567
m15j15d15p80_5.csv.out,15,15,15,80,5,11,1,4.0859997272491455,0.0,1.9279999732971191,,2.15799975395,14,1,3.125,0.0,1.4930000305175781,,1.63199996948
m15j15d15p80_6.csv.out,15,15,15,80,6,11,1,4.480000019073486,0.0,2.2179999351501465,,2.26200008392,13,1,3.6060001850128174,0.0,1.7909998893737793,,1.81500029564
m15j15d15p80_7.csv.out,15,15,15,80,7,11,1,3.5379998683929443,0.0,1.5970001220703125,,1.94099974632,12,1,2.510000228881836,0.0,1.2160000801086426,,1.29400014877
m15j15d15p80_8.csv.out,15,15,15,80,8,11,1,2.4690001010894775,0.0,1.2100000381469727,,1.25900006294,12,1,1.7860000133514404,0.0,0.8839998245239258,,0.902000188828
m15j15d15p80_9.csv.out,15,15,15,80,9,11,1,3.863999843597412,0.0,1.8379998207092285,,2.02600002289,11,1,3.078000068664551,0.0,1.498000144958496,,1.57999992371
m15j15d25p80_0.csv.out,15,15,25,80,0,9,1,3.9110000133514404,0.0,1.7390000820159912,,2.17199993134,13,1,2.8329999446868896,0.0,1.3550000190734863,,1.47799992561
m15j15d25p80_1.csv.out,15,15,25,80,1,9,1,3.1089999675750732,0.0,1.503000259399414,,1.60599970818,13,1,2.870999813079834,0.0,1.2230002880096436,,1.64799952507
m15j15d25p80_2.csv.out,15,15,25,80,2,10,1,4.138999938964844,0.0,1.747999668121338,,2.39100027084,11,1,3.815000057220459,0.0,1.376999855041504,,2.43800020218
m15j15d25p80_3.csv.out,15,15,25,80,3,9,1,2.7779998779296875,0.0,1.3580000400543213,,1.41999983788,12,1,1.9169998168945312,0.0,0.931999921798706,,0.984999895096
m15j15d25p80_4.csv.out,15,15,25,80,4,11,1,4.613000154495239,0.0,2.187000036239624,,2.42600011826,12,1,4.221999883651733,0.0,1.6820001602172852,,2.53999972343
m15j15d25p80_5.csv.out,15,15,25,80,5,11,1,3.998000144958496,0.0,2.0900001525878906,,1.90799999237,12,1,2.7940001487731934,0.0,1.2400000095367432,,1.55400013924
m15j15d25p80_6.csv.out,15,15,25,80,6,9,1,3.106999635696411,0.0,1.5220000743865967,,1.58499956131,11,1,2.6579999923706055,0.0,1.2139997482299805,,1.44400024414
m15j15d25p80_7.csv.out,15,15,25,80,7,11,1,3.819999933242798,0.0,1.8480000495910645,,1.97199988365,12,1,2.7760000228881836,0.0,1.3499999046325684,,1.42600011826
m15j15d25p80_8.csv.out,15,15,25,80,8,11,1,3.5439999103546143,0.0,1.6080000400543213,,1.9359998703,13,1,2.877999782562256,0.0,1.2330000400543213,,1.64499974251
m15j15d25p80_9.csv.out,15,15,25,80,9,12,1,4.531000137329102,0.0,2.380000114440918,,2.15100002289,13,1,3.493999719619751,0.0,1.696000099182129,,1.79799962044
m15j25d15p80_0.csv.out,15,25,15,80,0,19,1,11.164000034332275,0.0,6.460999965667725,,4.70300006866,20,1,9.632000207901001,0.0,4.743000030517578,,4.88900017738
m15j25d15p80_1.csv.out,15,25,15,80,1,20,1,11.57200002670288,0.0,6.253999948501587,,5.3180000782,22,1,9.223999738693237,0.0,4.616000175476074,,4.60799956322
m15j25d15p80_2.csv.out,15,25,15,80,2,20,1,14.004999876022339,0.0,8.187999725341797,,5.81700015068,21,1,11.70300006866455,0.0,6.131999969482422,,5.57100009918
m15j25d15p80_3.csv.out,15,25,15,80,3,19,1,9.835999965667725,0.0,5.427000045776367,,4.40899991989,22,1,9.062999963760376,0.0,3.7230000495910645,,5.33999991417
m15j25d15p80_4.csv.out,15,25,15,80,4,19,1,11.899999856948853,0.0,6.788000106811523,,5.11199975014,23,1,8.837999820709229,0.0,4.950000047683716,,3.88799977303
m15j25d15p80_5.csv.out,15,25,15,80,5,17,1,9.256999969482422,0.0,5.265999794006348,,3.99100017548,22,1,7.944000005722046,0.0,3.822999954223633,,4.1210000515
m15j25d15p80_6.csv.out,15,25,15,80,6,21,1,11.88699984550476,0.0,6.907000303268433,,4.97999954224,22,1,8.910999774932861,0.0,5.021000146865845,,3.88999962807
m15j25d15p80_7.csv.out,15,25,15,80,7,19,1,12.847000122070312,0.0,7.36299991607666,,5.48400020599,22,1,12.17900013923645,0.0,5.503999710083008,,6.67500042915
