file,m,j,d,p,i,cp_1s_solution,cp_1s_optimal,cp_1s_time,cp_2s_solution,cp_2s_optimal,cp_2s_time,cp_5s_solution,cp_5s_optimal,cp_5s_time,cp_10s_solution,cp_10s_optimal,cp_10s_time,cp_20s_solution,cp_20s_optimal,cp_20s_time
m15j15d15p60_0.csv.out,15,15,15,60,0,9,0,0.987,9,0,2.044,9,0,5.055,9,0,10.128,9,0,20.059
m15j15d15p60_1.csv.out,15,15,15,60,1,9,0,1.053,9,0,2.053,9,0,5.022,9,0,9.99,9,0,20.147
m15j15d15p60_2.csv.out,15,15,15,60,2,10,0,1.012,10,0,2.002,10,0,5.009,10,0,10.042,10,0,20.075
m15j15d15p60_3.csv.out,15,15,15,60,3,11,0,0.995,11,0,1.99,11,0,5.008,11,0,9.991,11,0,20.008
m15j15d15p60_4.csv.out,15,15,15,60,4,8,0,0.992,8,0,1.993,8,0,4.99,8,0,10.006,8,0,19.99
m15j15d15p60_5.csv.out,15,15,15,60,5,11,0,0.991,11,0,1.99,11,0,4.993,11,0,9.993,11,0,19.991
m15j15d15p60_6.csv.out,15,15,15,60,6,11,0,0.993,11,0,1.998,11,0,4.996,11,0,9.992,11,0,19.996
m15j15d15p60_7.csv.out,15,15,15,60,7,9,0,0.987,9,0,1.992,9,0,4.991,9,0,10.008,9,0,19.992
m15j15d15p60_8.csv.out,15,15,15,60,8,9,0,0.994,9,0,1.988,9,0,4.991,9,0,9.995,9,0,20.012
m15j15d15p60_9.csv.out,15,15,15,60,9,11,0,0.988,11,0,1.994,11,0,4.991,11,0,9.995,11,0,19.994
m15j15d15p80_0.csv.out,15,15,15,80,0,12,0,0.99,12,0,1.999,12,0,4.994,12,0,9.991,12,0,19.991
m15j15d15p80_1.csv.out,15,15,15,80,1,11,0,1.007,11,0,2,11,0,4.993,11,0,9.989,11,0,19.993
m15j15d15p80_2.csv.out,15,15,15,80,2,12,0,0.989,12,0,1.992,12,0,4.997,12,0,9.995,12,0,19.996
m15j15d15p80_3.csv.out,15,15,15,80,3,9,0,0.994,9,0,1.994,9,0,4.989,9,0,9.992,9,0,19.99
m15j15d15p80_4.csv.out,15,15,15,80,4,10,0,0.992,10,0,1.988,10,0,4.994,10,0,9.993,10,0,19.994
m15j15d15p80_5.csv.out,15,15,15,80,5,11,0,0.992,11,0,1.99,11,0,4.993,11,0,9.99,11,0,19.99
m15j15d15p80_6.csv.out,15,15,15,80,6,11,0,0.994,11,0,1.994,11,0,4.996,11,0,9.992,11,0,20.009
m15j15d15p80_7.csv.out,15,15,15,80,7,11,0,1.011,11,0,1.998,11,0,4.994,11,0,9.994,11,0,20.003
m15j15d15p80_8.csv.out,15,15,15,80,8,11,0,0.996,11,0,1.992,11,0,4.99,11,0,9.99,11,0,19.99
